time,open,high,low,close,Volume,Volume MA
1326420000,1149.197186,1149.197186,1128.675808,1135.516267,3684665,NaN
1326679200,1142.356727,1176.559024,1142.356727,1149.197186,3029894,NaN
1326765600,1149.197186,1162.878105,1142.356727,1149.197186,2679914,NaN
1326852000,1149.197186,1156.037646,1142.356727,1156.037646,1770468,NaN
1326938400,1162.878105,1197.080402,1156.037646,1197.080402,3271107,NaN
1327024800,1210.761321,1224.44224,1190.239943,1210.761321,5325644,NaN
1327888800,1149.197186,1149.197186,1121.835348,1149.197186,3733650,NaN
1327975200,1162.878105,1203.920862,1156.037646,1156.037646,8728053,NaN
1328061600,1169.718564,1210.761321,1149.197186,1210.761321,13146464,NaN
1328148000,1231.282699,1265.484997,1231.282699,1265.484997,7532945,NaN
1328234400,1320.208672,1327.049132,1272.325456,1272.325456,17843073,NaN
1328493600,1272.325456,1320.208672,1244.963618,1320.208672,7207391,NaN
1328580000,1320.208672,1333.889591,1299.687294,1313.368213,8242993,NaN
1328666400,1340.73005,1374.932348,1333.889591,1374.932348,8538725,NaN
1328752800,1374.932348,1436.496483,1361.251429,1415.975104,8039201,NaN
1328839200,1402.294185,1402.294185,1347.57051,1347.57051,6591198,NaN
1329098400,1327.049132,1333.889591,1286.006375,1286.006375,7087219,NaN
1329184800,1265.484997,1320.208672,1265.484997,1313.368213,5232802,NaN
1329271200,1333.889591,1333.889591,1279.165915,1292.846834,3674724,NaN
1329357600,1299.687294,1313.368213,1272.325456,1286.006375,4057740,6470893.5
1329444000,1320.208672,1320.208672,1286.006375,1299.687294,2139605,6393640.5
1329703200,1347.57051,1361.251429,1313.368213,1361.251429,6966904,6590491
1329789600,1402.294185,1402.294185,1333.889591,1333.889591,6288438,6770917.2
1329876000,1368.091888,1395.453726,1340.73005,1395.453726,9061950,7135491.3
1329962400,1491.220158,1532.262915,1470.69878,1532.262915,16984511,7821161.5
1330308000,1559.624753,1607.507969,1532.262915,1532.262915,18140282,8461893.4
1330394400,1504.901077,1573.305671,1498.060618,1573.305671,13822286,8966325.2
1330480800,1573.305671,1580.146131,1545.943834,1580.146131,9531794,9006512.25
1330567200,1607.507969,1641.710266,1600.667509,1621.188888,12258228,8962100.45
1330912800,1764.838536,1764.838536,1628.029347,1655.391185,15986764,9384791.4
1330999200,1675.912563,1675.912563,1600.667509,1634.869806,12684348,9126855.15
1331172000,1614.348428,1641.710266,1586.98659,1586.98659,11285912,9330781.2
1331258400,1580.146131,1580.146131,1504.901077,1539.103374,14051959,9621229.5
1331517600,1573.305671,1573.305671,1498.060618,1504.901077,12862566,9837421.55
1331604000,1518.581996,1532.262915,1491.220158,1518.581996,13103919,10090657.45
1331690400,1518.581996,1545.943834,1470.69878,1518.581996,17470584,10634626.75
1331776800,1518.581996,1586.98659,1470.69878,1586.98659,22833243,11421927.95
1331863200,1648.550725,1648.550725,1511.741536,1511.741536,21847181,12252646.9
1332122400,1511.741536,1559.624753,1491.220158,1532.262915,12737433,12705782.35
1332208800,1559.624753,1566.465212,1539.103374,1559.624753,8802162,12943003.45
1332295200,1607.507969,1634.869806,1573.305671,1593.82705,19287860,13800416.2
1332381600,1573.305671,1607.507969,1573.305671,1580.146131,10174441,13960793.05
1332468000,1573.305671,1600.667509,1573.305671,1580.146131,7115433,14002142.8
1332727200,1593.82705,1593.82705,1573.305671,1573.305671,6033339,13850712.25
1332813600,1566.465212,1586.98659,1559.624753,1566.465212,14092740,13706123.7
1332900000,1545.943834,1566.465212,1545.943834,1559.624753,4126159,13005417.55
1332986400,1552.784293,1573.305671,1552.784293,1559.624753,9337505,12781178.5
1333072800,1573.305671,1593.82705,1566.465212,1580.146131,10014218,12805299.7
1333418400,1600.667509,1600.667509,1580.146131,1593.82705,5261757,12455476.15
1333504800,1607.507969,1607.507969,1566.465212,1573.305671,5613048,11936790.35
1333591200,1566.465212,1648.550725,1566.465212,1607.507969,9976206,11801383.25
1333677600,1634.869806,1634.869806,1586.98659,1586.98659,4948033,11484489.3
