date,open,high,low,close,Volume
5/29/2012,1696.433941,1696.433941,1648.550725,1669.072104,3503838
5/30/2012,1648.550725,1703.274401,1641.710266,1648.550725,2044576
5/31/2012,1648.550725,1648.550725,1628.029347,1641.710266,8689885
6/1/2012,1648.550725,1648.550725,1628.029347,1641.710266,4640318
6/4/2012,1586.98659,1628.029347,1573.305671,1573.305671,8520752
6/5/2012,1566.465212,1593.82705,1566.465212,1573.305671,9554746
6/6/2012,1607.507969,1614.348428,1580.146131,1614.348428,4925227
6/7/2012,1593.82705,1669.072104,1593.82705,1648.550725,7179457
6/8/2012,1689.593482,1689.593482,1634.869806,1641.710266,5171558
6/11/2012,1662.231644,1662.231644,1641.710266,1641.710266,4642206
6/12/2012,1634.869806,1648.550725,1634.869806,1634.869806,5634242
6/13/2012,1634.869806,1641.710266,1621.188888,1621.188888,4088594
6/14/2012,1641.710266,1641.710266,1614.348428,1614.348428,5854701
6/15/2012,1648.550725,1689.593482,1628.029347,1689.593482,12365945
6/18/2012,1682.753023,1730.636239,1682.753023,1710.11486,15430944
6/19/2012,1675.912563,1703.274401,1662.231644,1662.231644,14245718
6/20/2012,1655.391185,1675.912563,1655.391185,1662.231644,7196715
6/21/2012,1628.029347,1669.072104,1628.029347,1662.231644,4211528
6/22/2012,1641.710266,1662.231644,1641.710266,1662.231644,4230687
6/25/2012,1662.231644,1669.072104,1641.710266,1662.231644,4986190
6/26/2012,1634.869806,1648.550725,1634.869806,1641.710266,2429651
6/27/2012,1634.869806,1669.072104,1634.869806,1669.072104,4669558
6/28/2012,1634.869806,1669.072104,1634.869806,1641.710266,883544
6/29/2012,1675.912563,1675.912563,1641.710266,1641.710266,3794756
7/2/2012,1641.710266,1655.391185,1634.869806,1634.869806,1712739
7/3/2012,1634.869806,1634.869806,1600.667509,1607.507969,6966603
7/4/2012,1607.507969,1634.869806,1607.507969,1607.507969,950935
7/5/2012,1600.667509,1614.348428,1593.82705,1600.667509,3946343
7/6/2012,1641.710266,1641.710266,1580.146131,1586.98659,4412691
7/9/2012,1586.98659,1607.507969,1566.465212,1573.305671,6994545
7/10/2012,1539.103374,1580.146131,1539.103374,1545.943834,8130573
7/11/2012,1511.741536,1573.305671,1511.741536,1545.943834,1865357
7/12/2012,1545.943834,1600.667509,1545.943834,1566.465212,916584
7/13/2012,1573.305671,1607.507969,1566.465212,1593.82705,3936844
7/16/2012,1593.82705,1600.667509,1573.305671,1573.305671,3124764
7/17/2012,1559.624753,1593.82705,1559.624753,1580.146131,12025340
7/18/2012,1607.507969,1607.507969,1566.465212,1580.146131,1238928
7/19/2012,1580.146131,1607.507969,1573.305671,1600.667509,4941754
7/20/2012,1621.188888,1628.029347,1573.305671,1573.305671,8824037
7/23/2012,1600.667509,1614.348428,1580.146131,1586.98659,3034868
7/24/2012,1580.146131,1593.82705,1566.465212,1573.305671,3895473
7/25/2012,1573.305671,1580.146131,1566.465212,1573.305671,3684080
7/26/2012,1573.305671,1593.82705,1573.305671,1573.305671,3297423
7/27/2012,1593.82705,1593.82705,1566.465212,1573.305671,1358508
7/30/2012,1525.422455,1573.305671,1525.422455,1573.305671,1437018
7/31/2012,1593.82705,1593.82705,1573.305671,1573.305671,1951312
8/1/2012,1573.305671,1573.305671,1545.943834,1559.624753,793627
8/2/2012,1545.943834,1573.305671,1545.943834,1552.784293,173507
8/3/2012,1559.624753,1566.465212,1559.624753,1566.465212,138706
8/6/2012,1552.784293,1593.82705,1552.784293,1566.465212,1566976
8/7/2012,1566.465212,1573.305671,1559.624753,1566.465212,558273
8/8/2012,1573.305671,1573.305671,1559.624753,1566.465212,2459166
8/9/2012,1566.465212,1586.98659,1566.465212,1586.98659,934857
8/10/2012,1573.305671,1573.305671,1559.624753,1559.624753,786035
8/13/2012,1552.784293,1559.624753,1552.784293,1559.624753,462078
8/14/2012,1559.624753,1573.305671,1552.784293,1566.465212,955177
8/15/2012,1566.465212,1566.465212,1559.624753,1559.624753,1089813
8/16/2012,1552.784293,1566.465212,1552.784293,1552.784293,529622
8/17/2012,1545.943834,1566.465212,1545.943834,1559.624753,1626906
8/20/2012,1566.465212,1566.465212,1559.624753,1566.465212,1785085
8/21/2012,1566.465212,1566.465212,1491.220158,1491.220158,7722408
8/22/2012,1429.656023,1463.85832,1422.815564,1429.656023,3459981
8/23/2012,1368.091888,1429.656023,1361.251429,1361.251429,6090060
8/24/2012,1299.687294,1422.815564,1299.687294,1395.453726,3843714
8/27/2012,1347.57051,1354.410969,1327.049132,1327.049132,5313799
8/28/2012,1327.049132,1368.091888,1327.049132,1361.251429,2157436
8/29/2012,1409.134645,1422.815564,1402.294185,1422.815564,497032
8/30/2012,1484.379699,1484.379699,1436.496483,1477.539239,1359247
8/31/2012,1477.539239,1477.539239,1409.134645,1477.539239,1824422
9/4/2012,1477.539239,1504.901077,1477.539239,1504.901077,1190834
9/5/2012,1470.69878,1491.220158,1450.177402,1484.379699,815270
9/6/2012,1450.177402,1477.539239,1450.177402,1470.69878,539420
9/7/2012,1463.85832,1470.69878,1457.017861,1463.85832,1585842
9/10/2012,1450.177402,1450.177402,1395.453726,1395.453726,5039830
9/11/2012,1361.251429,1374.932348,1340.73005,1340.73005,1836554
9/12/2012,1340.73005,1354.410969,1327.049132,1333.889591,2546603
9/13/2012,1327.049132,1395.453726,1327.049132,1395.453726,2810020
9/14/2012,1450.177402,1463.85832,1436.496483,1463.85832,1148150
9/17/2012,1470.69878,1532.262915,1463.85832,1532.262915,3353985
9/18/2012,1573.305671,1607.507969,1457.017861,1457.017861,10211421
9/19/2012,1470.69878,1525.422455,1463.85832,1491.220158,4302762
9/20/2012,1491.220158,1491.220158,1422.815564,1422.815564,6190784
9/21/2012,1443.336942,1491.220158,1443.336942,1491.220158,13768346
9/24/2012,1491.220158,1491.220158,1422.815564,1422.815564,3838755
9/25/2012,1368.091888,1422.815564,1361.251429,1374.932348,8687989
9/26/2012,1340.73005,1374.932348,1340.73005,1368.091888,4461225
9/27/2012,1368.091888,1368.091888,1347.57051,1347.57051,2209774
9/28/2012,1347.57051,1347.57051,1320.208672,1320.208672,3300483
10/1/2012,1374.932348,1381.772807,1333.889591,1381.772807,9426540
10/2/2012,1347.57051,1374.932348,1347.57051,1368.091888,87705
10/3/2012,1415.975104,1436.496483,1374.932348,1422.815564,2620991
10/4/2012,1422.815564,1491.220158,1422.815564,1457.017861,4650974
10/5/2012,1504.901077,1504.901077,1463.85832,1477.539239,1444038
10/8/2012,1443.336942,1498.060618,1443.336942,1491.220158,1152973
10/9/2012,1470.69878,1491.220158,1463.85832,1463.85832,4670139
10/10/2012,1470.69878,1477.539239,1422.815564,1463.85832,257410
10/11/2012,1504.901077,1518.581996,1470.69878,1477.539239,1057224
10/12/2012,1450.177402,1491.220158,1443.336942,1477.539239,697603
10/15/2012,1463.85832,1477.539239,1443.336942,1443.336942,598621
10/16/2012,1436.496483,1498.060618,1436.496483,1498.060618,927405
10/17/2012,1566.465212,1566.465212,1559.624753,1566.465212,4854470
10/18/2012,1614.348428,1614.348428,1573.305671,1607.507969,2528759
10/19/2012,1607.507969,1607.507969,1573.305671,1580.146131,1650159
10/22/2012,1593.82705,1593.82705,1552.784293,1580.146131,1118760
10/23/2012,1607.507969,1634.869806,1607.507969,1607.507969,1863884
10/24/2012,1607.507969,1607.507969,1573.305671,1593.82705,2216213
10/25/2012,1320.208672,1320.208672,1292.846834,1299.687294,4505957
10/26/2012,1333.889591,1333.889591,1306.527753,1327.049132,1913590
10/29/2012,1292.846834,1320.208672,1292.846834,1292.846834,771998
10/30/2012,1313.368213,1313.368213,1286.006375,1286.006375,1062485
10/31/2012,1286.006375,1292.846834,1272.325456,1272.325456,886173
11/1/2012,1251.804078,1279.165915,1244.963618,1244.963618,1883920
11/2/2012,1183.399483,1224.44224,1183.399483,1190.239943,1342722
11/5/2012,1162.878105,1231.282699,1162.878105,1169.718564,776825
11/6/2012,1169.718564,1176.559024,1162.878105,1176.559024,662357
11/7/2012,1183.399483,1231.282699,1183.399483,1231.282699,939241
11/8/2012,1224.44224,1272.325456,1217.601781,1272.325456,2191491
11/9/2012,1272.325456,1272.325456,1217.601781,1258.644537,525385
11/12/2012,1244.963618,1265.484997,1244.963618,1244.963618,175119
11/13/2012,1238.123159,1251.804078,1217.601781,1217.601781,391909
11/14/2012,1224.44224,1272.325456,1224.44224,1265.484997,1487740
11/15/2012,1265.484997,1320.208672,1265.484997,1286.006375,1385860
11/16/2012,1238.123159,1286.006375,1238.123159,1272.325456,1182360
11/19/2012,1238.123159,1279.165915,1238.123159,1272.325456,112391
11/20/2012,1292.846834,1299.687294,1272.325456,1272.325456,1803074
11/21/2012,1286.006375,1299.687294,1231.282699,1231.282699,2626556
11/22/2012,1272.325456,1279.165915,1272.325456,1279.165915,222331
11/23/2012,1286.006375,1286.006375,1231.282699,1238.123159,400542
11/26/2012,1231.282699,1244.963618,1231.282699,1231.282699,288991
11/27/2012,1286.006375,1286.006375,1244.963618,1251.804078,1504262
11/28/2012,1244.963618,1258.644537,1231.282699,1251.804078,4001319
11/29/2012,1292.846834,1292.846834,1258.644537,1272.325456,1938451
11/30/2012,1327.049132,1327.049132,1244.963618,1244.963618,3655294
12/3/2012,1272.325456,1286.006375,1251.804078,1286.006375,4490323
12/4/2012,1286.006375,1320.208672,1286.006375,1299.687294,4465613
12/5/2012,1320.208672,1320.208672,1299.687294,1299.687294,2343687
12/6/2012,1333.889591,1333.889591,1306.527753,1313.368213,3884513
12/7/2012,1327.049132,1327.049132,1299.687294,1299.687294,3018924
12/10/2012,1306.527753,1313.368213,1292.846834,1313.368213,869370
12/11/2012,1313.368213,1347.57051,1299.687294,1347.57051,3922660
12/12/2012,1333.889591,1361.251429,1313.368213,1354.410969,4447481
12/13/2012,1354.410969,1354.410969,1320.208672,1333.889591,3075646
12/14/2012,1354.410969,1354.410969,1306.527753,1313.368213,2391341
12/17/2012,1313.368213,1368.091888,1313.368213,1361.251429,5605005
12/18/2012,1381.772807,1381.772807,1340.73005,1340.73005,5954840
12/19/2012,1368.091888,1395.453726,1354.410969,1374.932348,8614160
12/20/2012,1374.932348,1374.932348,1340.73005,1368.091888,6806539
12/21/2012,1368.091888,1415.975104,1327.049132,1415.975104,12663886
12/24/2012,1361.251429,1415.975104,1354.410969,1402.294185,3056787
12/25/2012,1457.017861,1457.017861,1402.294185,1436.496483,7422432
12/26/2012,1374.932348,1429.656023,1374.932348,1409.134645,4733133
12/27/2012,1443.336942,1443.336942,1409.134645,1429.656023,2919797
12/28/2012,1429.656023,1436.496483,1415.975104,1436.496483,4221540
1/2/2013,1436.496483,1450.177402,1422.815564,1443.336942,7916697
1/3/2013,1436.496483,1457.017861,1422.815564,1457.017861,10526758
1/4/2013,1463.85832,1525.422455,1450.177402,1504.901077,8327198
1/7/2013,1450.177402,1580.146131,1450.177402,1580.146131,13537374
1/8/2013,1641.710266,1655.391185,1621.188888,1648.550725,22881182
1/9/2013,1580.146131,1648.550725,1580.146131,1634.869806,27443749
1/10/2013,1580.146131,1641.710266,1573.305671,1641.710266,14075051
1/11/2013,1641.710266,1655.391185,1614.348428,1628.029347,12420192
1/14/2013,1586.98659,1614.348428,1586.98659,1600.667509,5791833
1/15/2013,1580.146131,1600.667509,1566.465212,1593.82705,14462456
1/16/2013,1593.82705,1675.912563,1573.305671,1614.348428,35048497
1/17/2013,1607.507969,1614.348428,1566.465212,1566.465212,14274307
1/18/2013,1573.305671,1573.305671,1525.422455,1566.465212,5038535
1/21/2013,1539.103374,1566.465212,1518.581996,1518.581996,10202806
1/22/2013,1504.901077,1518.581996,1450.177402,1491.220158,14645040
1/23/2013,1463.85832,1498.060618,1463.85832,1484.379699,6489011
1/24/2013,1484.379699,1586.98659,1484.379699,1586.98659,12125763
1/25/2013,1600.667509,1628.029347,1586.98659,1621.188888,15371165
1/28/2013,1628.029347,1675.912563,1628.029347,1628.029347,40386149
1/29/2013,1628.029347,1675.912563,1607.507969,1669.072104,24143383
1/30/2013,1675.912563,1785.359914,1675.912563,1730.636239,31766126
1/31/2013,1716.95532,1730.636239,1682.753023,1703.274401,17543386
2/1/2013,1696.433941,1696.433941,1662.231644,1689.593482,15893060
2/4/2013,1689.593482,1696.433941,1662.231644,1662.231644,18079895
2/5/2013,1641.710266,1716.95532,1634.869806,1689.593482,12334666
2/6/2013,1723.795779,1764.838536,1710.11486,1764.838536,21189922
2/7/2013,1799.040833,1812.721752,1771.678995,1785.359914,38046541
2/8/2013,1805.881292,1805.881292,1785.359914,1785.359914,11000837
2/18/2013,1792.200374,1805.881292,1771.678995,1799.040833,19327039
2/19/2013,1792.200374,1799.040833,1778.519455,1792.200374,19149567
2/20/2013,1778.519455,1799.040833,1757.998076,1799.040833,17894238
2/21/2013,1799.040833,1840.08359,1675.912563,1675.912563,34096214
2/22/2013,1710.11486,1751.157617,1648.550725,1696.433941,20796821
2/25/2013,1744.317157,1744.317157,1689.593482,1737.476698,11785736
2/26/2013,1723.795779,1723.795779,1634.869806,1634.869806,19564740
2/27/2013,1634.869806,1662.231644,1566.465212,1621.188888,18865518
2/28/2013,1655.391185,1675.912563,1628.029347,1655.391185,7968295
3/1/2013,1662.231644,1682.753023,1641.710266,1641.710266,10750576
3/4/2013,1641.710266,1641.710266,1532.262915,1532.262915,18962584
3/5/2013,1532.262915,1532.262915,1470.69878,1491.220158,14604689
3/6/2013,1518.581996,1559.624753,1498.060618,1559.624753,5295831
3/7/2013,1593.82705,1655.391185,1573.305671,1614.348428,21039341
3/8/2013,1634.869806,1641.710266,1621.188888,1628.029347,4258753
3/11/2013,1634.869806,1689.593482,1621.188888,1689.593482,11017799
3/12/2013,1689.593482,1737.476698,1682.753023,1737.476698,30926113
3/13/2013,1751.157617,1751.157617,1641.710266,1682.753023,12330144
3/14/2013,1696.433941,1716.95532,1655.391185,1716.95532,10740328
3/15/2013,1716.95532,1730.636239,1703.274401,1723.795779,15276727
3/18/2013,1710.11486,1716.95532,1696.433941,1703.274401,7003594
3/19/2013,1696.433941,1710.11486,1689.593482,1710.11486,6026188
3/20/2013,1710.11486,1744.317157,1703.274401,1723.795779,7276096
3/21/2013,1730.636239,1764.838536,1730.636239,1737.476698,15473201
